                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.65045,                0.39579,                0.90206,                0.97254,                0.96543,                0.98301,                0.83398,                0.54368,                 0.3091,                0.85511,               0.006535,               0.006535,               0.006535
                     38,                0.64921,                0.39691,                 0.9049,                0.97133,                0.95878,                 0.9778,                0.79804,                0.63111,                0.33603,                0.86846,               0.006436,               0.006436,               0.006436
                     39,                0.64862,                0.39508,                0.90325,                0.97242,                0.96557,                0.98168,                0.82412,                0.56384,                0.31453,                0.85824,               0.006337,               0.006337,               0.006337
                     40,                0.64744,                0.39441,                0.90357,                 0.9743,                0.96338,                0.98288,                0.82793,                 0.5592,                0.31073,                0.85808,               0.006238,               0.006238,               0.006238
                     41,                 0.6452,                0.39021,                0.90079,                0.97591,                0.96473,                0.98321,                0.83304,                0.54655,                 0.3033,                0.85397,               0.006139,               0.006139,               0.006139
                     42,                0.64317,                0.38924,                0.90145,                0.97381,                 0.9651,                0.98116,                0.81741,                0.58659,                0.31671,                 0.8604,                0.00604,                0.00604,                0.00604
                     43,                0.64336,                0.39029,                0.90149,                0.97491,                0.96343,                0.98199,                0.82556,                0.56354,                0.30685,                0.85679,               0.005941,               0.005941,               0.005941
                     44,                0.64389,                0.38958,                0.90132,                0.97033,                0.96676,                0.98277,                0.83424,                0.54381,                0.30361,                0.85366,               0.005842,               0.005842,               0.005842
                     45,                0.64118,                0.38712,                0.90062,                0.97525,                0.96571,                0.98365,                 0.8384,                0.53386,                0.29732,                0.85157,               0.005743,               0.005743,               0.005743
                     46,                 0.6366,                0.38469,                0.89948,                0.97366,                0.96798,                0.98382,                0.83935,                0.53392,                0.29585,                0.85073,               0.005644,               0.005644,               0.005644
                     47,                0.63787,                0.38482,                 0.8992,                0.97587,                0.96609,                0.98407,                0.83777,                0.53615,                0.29543,                0.85128,               0.005545,               0.005545,               0.005545
                     48,                0.63578,                0.38178,                 0.8986,                0.97379,                0.96863,                0.98401,                0.83946,                0.53346,                0.29596,                0.85125,               0.005446,               0.005446,               0.005446
                     49,                0.63536,                0.38107,                0.89766,                0.97531,                0.96578,                0.98329,                0.83449,                0.54595,                0.30008,                0.85273,               0.005347,               0.005347,               0.005347
                     50,                0.63372,                0.38176,                0.89899,                0.97521,                0.96596,                0.98416,                0.83707,                0.53656,                0.29375,                0.85045,               0.005248,               0.005248,               0.005248
