                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.64735,                0.39034,                0.89562,                0.97269,                0.96407,                0.98223,                0.83419,                0.54231,                0.30836,                0.84942,               0.006535,               0.006535,               0.006535
                     38,                0.64633,                0.38904,                0.89727,                 0.9712,                0.96321,                0.98156,                0.82954,                0.55554,                0.31276,                0.85255,               0.006436,               0.006436,               0.006436
                     39,                0.64669,                0.39066,                0.89641,                0.97197,                0.96385,                0.98064,                0.82303,                0.56875,                0.31493,                0.85163,               0.006337,               0.006337,               0.006337
                     40,                0.64495,                0.38952,                0.89699,                0.97295,                0.96293,                0.98193,                0.83061,                0.54974,                0.30867,                0.85233,               0.006238,               0.006238,               0.006238
                     41,                0.64377,                 0.3869,                0.89483,                 0.9734,                0.96365,                0.98249,                0.83014,                0.55311,                0.30794,                0.85181,               0.006139,               0.006139,               0.006139
                     42,                0.64021,                 0.3856,                0.89485,                0.97211,                0.96541,                0.98269,                 0.8307,                0.54997,                0.30389,                0.85057,                0.00604,                0.00604,                0.00604
                     43,                0.64137,                0.38575,                0.89438,                0.97158,                0.96439,                0.98088,                0.82438,                0.56677,                0.31225,                0.85194,               0.005941,               0.005941,               0.005941
                     44,                0.64213,                0.38456,                0.89538,                0.97349,                0.96459,                0.98327,                0.83466,                 0.5446,                0.30185,                0.84943,               0.005842,               0.005842,               0.005842
                     45,                0.63826,                 0.3812,                0.89463,                0.97238,                0.96566,                0.98159,                0.82103,                 0.5805,                0.31326,                0.85325,               0.005743,               0.005743,               0.005743
                     46,                0.63575,                0.38032,                0.89388,                0.97441,                 0.9652,                0.98323,                0.83378,                0.54566,                0.30153,                0.84973,               0.005644,               0.005644,               0.005644
                     47,                0.63582,                0.38081,                0.89384,                0.97212,                0.96571,                0.98177,                0.83223,                0.55106,                 0.3053,                0.84883,               0.005545,               0.005545,               0.005545
                     48,                0.63461,                0.37878,                0.89243,                0.97214,                0.96689,                0.98264,                0.83494,                0.54144,                0.30128,                0.84707,               0.005446,               0.005446,               0.005446
                     49,                0.63425,                0.37754,                0.89189,                0.97483,                0.96513,                0.98347,                0.83776,                0.53616,                0.29549,                0.84668,               0.005347,               0.005347,               0.005347
                     50,                0.63361,                0.37779,                0.89359,                0.97279,                0.96687,                0.98343,                0.83766,                0.53611,                0.29488,                0.84732,               0.005248,               0.005248,               0.005248
                     51,                0.63178,                0.37454,                0.89184,                0.97427,                0.96729,                0.98225,                0.82954,                0.55901,                0.30315,                0.84928,               0.005149,               0.005149,               0.005149
                     52,                0.63258,                0.37542,                0.89377,                 0.9744,                0.96768,                0.98348,                0.84033,                0.53147,                0.29377,                0.84604,                0.00505,                0.00505,                0.00505
                     53,                0.63073,                0.37323,                0.89257,                0.97276,                0.96811,                0.98245,                0.83392,                0.54367,                0.29846,                0.84679,               0.004951,               0.004951,               0.004951
                     54,                0.62934,                0.37345,                0.89239,                0.97465,                0.96474,                0.98326,                0.83903,                0.53503,                0.29279,                0.84694,               0.004852,               0.004852,               0.004852
                     55,                0.62699,                0.37074,                  0.891,                0.97513,                  0.965,                0.98377,                0.83975,                0.53409,                0.29205,                0.84608,               0.004753,               0.004753,               0.004753
                     56,                0.62696,                0.37072,                0.89194,                0.97452,                0.96598,                 0.9818,                0.82739,                0.56654,                0.30206,                0.85004,               0.004654,               0.004654,               0.004654
                     57,                0.62511,                0.36893,                0.89087,                0.97537,                0.96677,                0.98411,                0.84204,                0.52875,                0.28865,                0.84463,               0.004555,               0.004555,               0.004555
                     58,                0.62631,                0.36886,                0.89009,                0.97473,                0.96742,                0.98361,                0.84139,                0.52862,                0.29046,                0.84407,               0.004456,               0.004456,               0.004456
                     59,                0.62058,                0.36585,                0.88982,                 0.9764,                0.96529,                0.98428,                 0.8414,                0.53012,                 0.2897,                0.84516,               0.004357,               0.004357,               0.004357
                     60,                0.62423,                0.36756,                0.89051,                  0.975,                0.96709,                 0.9843,                0.84073,                0.53091,                0.28979,                0.84542,               0.004258,               0.004258,               0.004258
                     61,                0.62288,                  0.366,                0.89073,                 0.9747,                 0.9679,                0.98393,                0.84128,                 0.5283,                0.28952,                0.84387,               0.004159,               0.004159,               0.004159
                     62,                0.62035,                0.36395,                0.89026,                0.97675,                0.96558,                0.98309,                0.83668,                0.53631,                0.29249,                0.84513,                0.00406,                0.00406,                0.00406
                     63,                0.61893,                0.36362,                0.88868,                0.97535,                0.96603,                0.98433,                0.83952,                0.53569,                0.28958,                0.84629,               0.003961,               0.003961,               0.003961
                     64,                0.61823,                0.36278,                0.88941,                 0.9757,                0.96651,                0.98376,                0.84062,                0.53015,                0.28959,                0.84437,               0.003862,               0.003862,               0.003862
                     65,                0.61856,                0.36359,                0.89023,                0.97495,                0.96874,                0.98432,                0.84183,                0.52844,                0.28786,                0.84469,               0.003763,               0.003763,               0.003763
                     66,                0.61603,                0.36215,                0.88795,                0.97503,                0.96867,                0.98409,                0.84209,                0.52702,                0.28766,                0.84389,               0.003664,               0.003664,               0.003664
                     67,                0.61612,                0.35911,                0.88808,                0.97574,                0.96873,                0.98388,                0.84175,                0.52945,                0.28804,                0.84353,               0.003565,               0.003565,               0.003565
                     68,                0.61374,                0.35872,                0.88798,                0.97489,                0.96874,                0.98431,                0.84373,                0.52487,                0.28644,                0.84297,               0.003466,               0.003466,               0.003466
                     69,                0.61412,                0.35912,                0.88861,                0.97501,                0.96891,                0.98436,                0.84319,                0.52557,                0.28668,                0.84338,               0.003367,               0.003367,               0.003367
                     70,                0.61451,                0.35754,                0.88756,                0.97515,                0.96859,                0.98427,                0.84374,                0.52542,                0.28622,                0.84347,               0.003268,               0.003268,               0.003268
                     71,                0.61289,                0.35615,                0.88684,                0.97551,                0.96809,                0.98418,                0.84357,                0.52569,                0.28604,                0.84342,               0.003169,               0.003169,               0.003169
                     72,                0.61039,                0.35509,                0.88701,                0.97563,                0.96883,                0.98446,                 0.8439,                0.52531,                0.28503,                0.84347,                0.00307,                0.00307,                0.00307
                     73,                0.61007,                0.35584,                0.88639,                0.97518,                0.96942,                0.98453,                0.84345,                0.52678,                0.28476,                0.84388,               0.002971,               0.002971,               0.002971
                     74,                0.60947,                0.35454,                0.88694,                0.97558,                0.96917,                0.98448,                0.84368,                0.52582,                0.28457,                0.84357,               0.002872,               0.002872,               0.002872
                     75,                0.60687,                 0.3523,                0.88476,                0.97651,                0.96898,                0.98472,                0.84399,                0.52538,                0.28421,                 0.8434,               0.002773,               0.002773,               0.002773
                     76,                0.60749,                0.35089,                0.88638,                0.97622,                0.96908,                0.98468,                0.84453,                0.52439,                0.28324,                0.84318,               0.002674,               0.002674,               0.002674
                     77,                 0.6067,                0.35164,                0.88635,                0.97665,                 0.9685,                0.98458,                0.84416,                0.52471,                 0.2835,                0.84315,               0.002575,               0.002575,               0.002575
                     78,                0.60596,                0.34985,                0.88444,                0.97579,                0.96977,                 0.9846,                0.84474,                  0.524,                0.28276,                0.84307,               0.002476,               0.002476,               0.002476
                     79,                0.60295,                0.34847,                0.88513,                0.97652,                 0.9693,                0.98469,                0.84485,                0.52397,                0.28267,                0.84305,               0.002377,               0.002377,               0.002377
                     80,                0.60313,                0.34817,                0.88623,                0.97566,                0.96945,                0.98449,                0.84456,                0.52359,                0.28266,                0.84271,               0.002278,               0.002278,               0.002278
                     81,                0.60321,                0.34808,                0.88572,                0.97585,                0.96986,                0.98459,                 0.8447,                0.52334,                0.28233,                0.84271,               0.002179,               0.002179,               0.002179
                     82,                0.60033,                 0.3452,                0.88496,                0.97571,                0.96996,                0.98459,                0.84489,                0.52325,                0.28212,                 0.8427,                0.00208,                0.00208,                0.00208
                     83,                0.59926,                0.34414,                0.88477,                0.97586,                0.96942,                0.98469,                0.84506,                0.52268,                 0.2819,                 0.8425,               0.001981,               0.001981,               0.001981
                     84,                0.59823,                0.34459,                0.88288,                0.97615,                0.96937,                0.98454,                0.84534,                0.52228,                0.28157,                0.84239,               0.001882,               0.001882,               0.001882
                     85,                0.59615,                0.34313,                0.88298,                0.97586,                0.96954,                0.98474,                0.84526,                0.52232,                0.28151,                0.84232,               0.001783,               0.001783,               0.001783
                     86,                0.59699,                0.34154,                0.88287,                0.97646,                 0.9691,                0.98477,                0.84569,                0.52174,                0.28089,                0.84213,               0.001684,               0.001684,               0.001684
                     87,                0.59583,                0.34145,                0.88366,                0.97605,                 0.9693,                0.98481,                0.84579,                0.52174,                0.28088,                0.84215,               0.001585,               0.001585,               0.001585
                     88,                0.59382,                0.33998,                0.88174,                0.97579,                0.96935,                0.98476,                0.84558,                0.52192,                0.28091,                 0.8422,               0.001486,               0.001486,               0.001486
                     89,                0.59535,                0.34015,                 0.8816,                0.97582,                0.96962,                0.98477,                0.84577,                0.52181,                 0.2808,                0.84211,               0.001387,               0.001387,               0.001387
                     90,                0.59168,                0.33853,                0.88159,                0.97641,                0.96954,                0.98468,                0.84582,                0.52175,                0.28085,                  0.842,               0.001288,               0.001288,               0.001288
                     91,                0.55177,                0.29291,                 0.8571,                0.97676,                0.96951,                0.98487,                0.84603,                0.52176,                0.28049,                0.84203,               0.001189,               0.001189,               0.001189
                     92,                0.54925,                 0.2911,                 0.8564,                0.97667,                0.96953,                0.98473,                 0.8465,                0.52128,                0.28023,                0.84188,                0.00109,                0.00109,                0.00109
                     93,                0.54653,                0.28994,                0.85578,                0.97679,                0.96942,                0.98483,                0.84646,                0.52094,                0.28024,                 0.8417,               0.000991,               0.000991,               0.000991
                     94,                0.54553,                0.28776,                0.85574,                0.97681,                0.96928,                0.98464,                0.84668,                0.52059,                0.27998,                0.84152,               0.000892,               0.000892,               0.000892
                     95,                0.54378,                0.28649,                0.85474,                0.97695,                0.96924,                0.98469,                0.84672,                0.52045,                0.27979,                0.84142,               0.000793,               0.000793,               0.000793
                     96,                0.54242,                0.28565,                0.85482,                0.97686,                0.96923,                0.98465,                0.84664,                0.52038,                0.27977,                0.84135,               0.000694,               0.000694,               0.000694
                     97,                0.54092,                0.28433,                0.85337,                0.97702,                0.96911,                0.98485,                0.84663,                0.52039,                0.27972,                0.84131,               0.000595,               0.000595,               0.000595
                     98,                0.53889,                0.28197,                0.85354,                0.97725,                0.96897,                0.98479,                0.84679,                0.52018,                0.27953,                0.84121,               0.000496,               0.000496,               0.000496
                     99,                 0.5367,                0.28118,                0.85205,                0.97803,                 0.9682,                0.98479,                0.84675,                0.52024,                 0.2795,                0.84118,               0.000397,               0.000397,               0.000397
                    100,                 0.5352,                 0.2799,                0.85194,                0.97727,                0.96914,                0.98481,                0.84681,                0.52017,                0.27939,                0.84112,               0.000298,               0.000298,               0.000298
