                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97334,                 2.7296,                 1.1628,                0.80598,                0.72878,                0.80974,                0.65134,                0.78253,                 1.2697,                 1.0503,              0.0033143,              0.0033143,              0.0033143
                      2,                0.81902,                 1.0115,                 1.0693,                0.88133,                0.84263,                0.91022,                  0.732,                0.77311,                0.81151,                0.99104,              0.0065818,              0.0065818,              0.0065818
                      3,                0.81364,                0.87543,                 1.0565,                0.30798,                0.12463,                0.10645,                0.06775,                 1.8946,                    inf,                 1.9158,              0.0097833,              0.0097833,              0.0097833
                      4,                0.79917,                0.81878,                 1.0529,                0.91432,                0.88322,                0.93718,                 0.7919,                0.64337,                0.68063,                0.95189,               0.009703,               0.009703,               0.009703
                      5,                0.76553,                0.76115,                 1.0407,                0.91118,                0.87513,                0.93687,                0.79439,                0.63327,                0.67645,                0.95581,               0.009703,               0.009703,               0.009703
                      6,                0.74741,                 0.7186,                 1.0346,                0.57442,                0.10819,                0.17371,                 0.1145,                 1.9785,                 3.5735,                 2.0391,               0.009604,               0.009604,               0.009604
                      7,                0.73265,                0.68796,                 1.0269,                0.92774,                0.90891,                0.95672,                0.82897,                0.57689,                0.53369,                0.92408,               0.009505,               0.009505,               0.009505
                      8,                0.71592,                0.66059,                 1.0204,                0.93821,                0.91092,                0.95999,                0.82365,                0.64109,                0.53184,                0.93348,               0.009406,               0.009406,               0.009406
                      9,                0.70665,                0.63826,                 1.0164,                0.93051,                0.91236,                0.95959,                 0.8377,                0.56688,                0.51668,                0.91902,               0.009307,               0.009307,               0.009307
                     10,                 0.6983,                0.62488,                 1.0151,                0.93487,                0.91314,                0.96029,                0.83907,                0.56317,                0.49732,                0.91512,               0.009208,               0.009208,               0.009208
                     11,                0.68919,                 0.6085,                 1.0093,                0.94257,                0.92208,                0.96509,                0.85019,                0.54127,                0.47279,                0.90964,               0.009109,               0.009109,               0.009109
                     12,                0.68703,                0.59587,                 1.0091,                0.94363,                0.92553,                0.96784,                0.85674,                0.53492,                0.45846,                0.90133,                0.00901,                0.00901,                0.00901
                     13,                0.67966,                0.58415,                 1.0042,                0.94125,                0.92664,                0.96642,                0.85317,                0.54113,                0.45537,                0.90205,               0.008911,               0.008911,               0.008911
                     14,                0.67454,                0.57625,                  1.004,                 0.9285,                0.89715,                0.94819,                0.78803,                0.72235,                0.54233,                0.96051,               0.008812,               0.008812,               0.008812
                     15,                0.67252,                0.56686,                  1.001,                 0.9491,                0.93603,                0.97273,                0.86663,                0.52298,                0.42414,                0.89051,               0.008713,               0.008713,               0.008713
                     16,                0.66393,                0.55868,                0.99624,                0.94345,                0.93616,                0.96998,                0.86095,                0.52774,                0.42828,                0.89509,               0.008614,               0.008614,               0.008614
                     17,                0.66096,                0.55385,                0.99505,                0.95021,                0.94322,                0.97343,                0.87332,                0.50441,                0.40697,                0.88432,               0.008515,               0.008515,               0.008515
                     18,                 0.6559,                0.54235,                0.99145,                0.95385,                  0.941,                0.97485,                  0.878,                 0.4923,                0.39741,                0.87622,               0.008416,               0.008416,               0.008416
                     19,                0.65312,                0.53982,                0.99017,                0.95188,                0.93502,                0.97173,                 0.8686,                0.51536,                0.41058,                 0.8861,               0.008317,               0.008317,               0.008317
                     20,                0.65021,                0.53547,                0.98911,                0.94357,                0.92276,                0.96386,                0.82864,                0.64941,                 0.4608,                 0.9221,               0.008218,               0.008218,               0.008218
                     21,                0.64983,                 0.5329,                0.99007,                0.93789,                0.91579,                0.96044,                0.83096,                0.62007,                0.46421,                0.92068,               0.008119,               0.008119,               0.008119
                     22,                0.64648,                0.52548,                0.98607,                 0.9449,                0.93429,                0.97055,                0.86964,                0.50733,                0.40911,                0.88107,                0.00802,                0.00802,                0.00802
                     23,                0.64439,                0.52247,                0.98618,                0.94842,                0.93874,                0.97174,                0.85193,                0.58927,                0.41943,                0.89306,               0.007921,               0.007921,               0.007921
                     24,                0.63967,                0.51492,                0.98278,                0.95808,                 0.9419,                0.97558,                0.88016,                0.50042,                0.38262,                0.87757,               0.007822,               0.007822,               0.007822
                     25,                0.63752,                0.51322,                0.98359,                  0.954,                 0.9462,                0.97606,                0.88119,                0.48729,                0.37982,                0.87319,               0.007723,               0.007723,               0.007723
                     26,                0.63586,                 0.5096,                0.98096,                0.95178,                 0.9458,                0.97577,                0.87515,                0.50215,                0.37968,                 0.8785,               0.007624,               0.007624,               0.007624
